0	821	4	978241072
0	810	4	978241072
0	340	1	978241112
0	1116	5	978241112
0	1008	1	978241390
0	981	2	978242080
0	815	5	978242740
0	870	3	978242847
0	284	3	978242934
0	23	1	978242934
0	1346	4	978242977
0	477	1	978244001
0	1109	3	978244001
0	1432	3	978244025
0	941	5	978244114
0	564	4	978244177
0	281	4	978244177
0	303	3	978244177
0	577	4	978244177
0	1081	5	978244177
0	977	5	978244205
0	49	5	978244205
0	798	4	978244493
0	657	4	978244493
0	1061	5	978244493
0	771	2	978244493
0	892	5	978244540
0	1381	3	978244540
0	723	2	978244540
0	166	4	978244568
0	33	4	978244603
0	536	4	978244603
0	152	4	978244624
0	1458	4	978244667
0	40	4	978244692
0	667	4	978244759
0	1045	5	978244759
0	35	3	978244808
0	553	3	978244808
0	1295	4	978244830
0	1041	4	978244852
0	437	3	978244893
0	31	4	978244962
0	1343	3	978244962
0	1360	4	978245037
0	38	3	978245037
0	253	3	978245037
0	983	4	978245065
0	28	5	978245065
0	1145	1	978245314
0	1446	4	978245314
0	1459	3	978245314
0	1336	3	978245314
0	46	3	978245334
0	777	4	978245334
0	204	3	978245422
0	259	3	978245487
0	1365	4	978245513
0	1410	1	978245548
0	1350	4	978245568
0	15	3	978245645
0	1247	4	978245645
0	1425	4	978245645
0	473	3	978245687
0	1309	3	978245695
0	140	2	978245763
0	672	1	978245763
0	485	4	978245829
0	341	2	978245829
0	1462	2	978245891
0	389	2	978245891
0	5	2	978245916
0	1134	2	978245948
0	191	2	978246033
1	1066	4	978218913
1	558	3	978219045
1	303	5	978219547
1	564	5	978219607
1	49	5	978219607
1	577	5	978219667
1	892	5	978219733
1	977	5	978219776
1	1131	3	978219815
1	697	5	978219869
1	706	4	978219895
1	518	5	978219917
1	1057	4	978220319
1	416	2	978220361
1	568	3	978220521
1	417	3	978220561
1	952	4	978220622
1	237	3	978220645
1	329	4	978220669
1	456	4	978220743
1	885	1	978220829
1	491	3	978220867
1	430	2	978220930
1	1334	3	978221017
1	525	3	978221164
1	938	2	978221225
1	457	5	978221260
1	1396	1	978221307
1	1387	5	978221617
1	326	3	978221632
1	82	1	978902286
1	105	3	978902349
1	1289	3	978902349
1	561	3	978902349
1	1482	3	978902350
1	35	3	978902405
1	1081	4	978902439
1	234	4	978902439
1	259	2	978902477
1	506	3	978902521
1	1374	4	978902521
1	46	3	978902560
1	652	1	978902586
1	1491	1	978902586
1	1249	4	978902965
1	1017	4	978902965
1	1110	4	978903024
1	1125	3	978903041
1	968	4	978903076
1	1173	3	978903076
1	341	1	978903395
1	716	1	978904053
1	1474	2	978904327
1	557	1	978904356
2	1223	1	978152203
2	804	5	978152203
2	276	1	978152203
2	985	5	978152454
2	963	4	978152454
2	248	5	978152454
2	351	4	978152486
2	1	2	978152541
2	613	3	978152541
2	1007	1	978152596
2	1463	4	978152596
2	1064	5	978152973
2	105	5	978152973
2	1066	5	978152973
2	1069	4	978152999
2	1108	5	978152999
2	1068	4	978153033
2	932	3	978153033
2	1157	5	978153033
2	1242	4	978153033
2	871	5	978153033
2	560	5	978153053
2	1078	5	978153076
2	1106	5	978153104
2	1260	5	978153146
2	1083	5	978153170
2	529	4	978153192
2	352	3	978153219
2	563	4	978153219
2	361	2	978153219
2	1141	5	978153241
2	364	3	978153303
2	1399	5	978153303
2	153	5	978153303
2	1358	4	978153329
2	9	5	978153344
2	609	4	978153370
2	337	5	978153426
2	277	4	978153513
2	708	3	978153540
2	526	2	978153540
2	91	1	978153557
2	1246	3	978153583
2	273	4	978153612
2	411	2	978153612
2	1232	2	978153649
2	1233	4	978153683
2	1485	3	978153683
2	442	3	978153683
2	1372	3	978153771
2	197	1	978153771
2	143	3	978153795
2	43	4	978153795
2	461	2	978153854
2	382	1	978153874
2	1234	3	978153874
2	311	3	978153894
2	1422	2	978153977
2	676	1	978154005
2	754	1	978154050
2	520	2	978154104
2	1386	1	978154104
2	1335	1	978154104
2	1432	5	978154270
2	1203	3	978154296
2	1140	5	978154332
2	1125	5	978154361
2	821	5	978154361
2	1065	5	978154361
2	28	3	978154361
2	561	4	978154388
2	842	4	978154433
2	398	4	978154467
2	1405	4	978154534
2	148	4	978154534
2	1379	1	978154572
2	675	1	978154572
2	158	1	978154572
2	943	1	978154621
2	0	4	978154768
2	348	5	978154798
2	559	5	978154798
2	565	5	978154834
2	566	5	978154834
2	567	4	978154834
2	1148	5	978154834
2	928	4	978154907
2	918	5	978154907
2	677	5	978154907
2	925	4	978154931
2	921	4	978154962
2	298	4	978154962
2	711	3	978154962
2	929	4	978154982
2	956	2	978155020
2	585	5	978155020
2	47	4	978155072
2	33	5	978155186
2	250	5	978155186
2	924	5	978155186
2	506	5	978155207
2	525	5	978155207
2	557	4	978155233
